fish_ID,date,time,spot,background,stimulus,correct,number_incorrect_pecks,time_detection_seconds,contrast
N,14/11/2017,14:00:00,bright,1dark,63-58-55,1,0,1.66,0.119903714
T,11/02/2017,15:00:00,bright,1dark,63-58-55,1,0,1.66,0.119903714
E,11/07/2017,13:00:00,bright,2bright,75-71-69,1,0,1.66,0.129079105
G,11/03/2017,14:00:00,bright,1dark,85-75-75,1,0,1.66,0.36590405
E,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,1.66,0.369359853
H,20/10/2017,10:00:00,dark,2bright,30-30-30,1,0,1.66,0.369359853
R,13/11/2017,15:00:00,dark,1dark,45-45-45,1,0,1.68,0.07566594
G,24/10/2017,10:00:00,bright,1dark,63-58-55,1,0,1.68,0.119903714
O,11/07/2017,13:00:00,bright,2bright,75-71-69,1,0,1.68,0.129079105
M,27/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.68,0.146998711
M,11/10/2017,10:00:00,dark,2bright,48-48-48,1,0,1.68,0.197223484
J,11/06/2017,15:00:00,bright,1dark,55-55-55,1,0,1.69,0.098101105
R,15/11/2017,15:00:00,dark,1dark,36-36-36,1,0,1.69,0.162338153
M,11/06/2017,14:00:00,bright,2bright,85-75-75,1,0,1.69,0.217397242
M,11/02/2017,15:00:00,bright,2bright,85-75-75,1,0,1.69,0.217397242
O,11/07/2017,13:00:00,dark,2bright,48-48-48,1,0,1.71,0.197223484
R,14/11/2017,14:00:00,bright,1dark,85-75-75,1,0,1.72,0.36590405
M,11/08/2017,14:00:00,bright,2bright,plain,1,0,1.73,0.419240736
O,11/10/2017,10:00:00,bright,2bright,70-66-64,1,0,1.75,0.099135488
J,11/02/2017,14:00:00,bright,1dark,63-58-55,1,0,1.75,0.119903714
N,11/07/2017,13:00:00,bright,1dark,63-58-55,1,0,1.75,0.119903714
H,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.75,0.129079105
T,24/10/2017,10:00:00,bright,1dark,66-58-55,1,0,1.75,0.148335617
C,11/09/2017,14:00:00,dark,1dark,36-36-36,1,0,1.75,0.162338153
T,11/03/2017,15:00:00,dark,1dark,36-36-36,1,0,1.75,0.162338153
E,11/01/2017,15:00:00,dark,2bright,30-30-30,1,0,1.75,0.369359853
O,31/10/2017,15:00:00,dark,2bright,30-30-30,1,0,1.75,0.369359853
H,20/10/2017,13:00:00,dark,2bright,50-50-50,1,0,1.78,0.146998711
M,11/09/2017,15:00:00,dark,2bright,48-48-48,1,0,1.78,0.197223484
F,11/10/2017,10:00:00,bright,2bright,plain,1,0,1.79,0.419240736
J,11/06/2017,15:00:00,bright,1dark,63-58-55,1,0,1.81,0.119903714
E,24/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
M,24/10/2017,10:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
M,23/10/2017,11:00:00,dark,2bright,50-50-50,1,0,1.81,0.146998711
G,11/08/2017,15:00:00,bright,1dark,66-58-55,1,0,1.81,0.148335617
C,14/11/2017,15:00:00,bright,1dark,85-75-75,1,0,1.81,0.36590405
T,14/11/2017,14:00:00,bright,1dark,63-58-55,1,0,1.82,0.119903714
J,11/02/2017,14:00:00,dark,1dark,30-30-30,1,0,1.82,0.227340804
B,11/07/2017,15:00:00,dark,2bright,30-30-30,1,0,1.82,0.369359853
C,11/07/2017,14:00:00,dark,1dark,40-40-40,1,0,1.84,0.125392552
R,14/11/2017,14:00:00,dark,1dark,40-40-40,1,0,1.84,0.125392552
N,11/08/2017,14:00:00,bright,1dark,66-58-55,1,0,1.84,0.148335617
E,13/11/2017,15:00:00,bright,2bright,85-75-75,1,0,1.84,0.217397242
D,13/11/2017,15:00:00,dark,2bright,30-30-30,1,0,1.84,0.369359853
C,11/07/2017,14:00:00,bright,1dark,63-58-55,1,0,1.85,0.119903714
T,11/10/2017,10:00:00,dark,1dark,30-30-30,1,0,1.85,0.227340804
O,11/08/2017,14:00:00,bright,2bright,85-75-75,1,0,1.87,0.217397242
N,16/11/2017,10:00:00,bright,1dark,85-75-75,1,0,1.87,0.36590405
M,20/10/2017,13:00:00,dark,2bright,30-30-30,1,0,1.87,0.369359853
R,11/06/2017,14:00:00,bright,1dark,55-55-55,1,0,1.88,0.098101105
R,11/09/2017,15:00:00,bright,1dark,85-75-75,1,0,1.88,0.36590405
R,11/03/2017,15:00:00,dark,1dark,40-40-40,1,0,1.9,0.125392552
R,15/11/2017,15:00:00,dark,1dark,30-30-30,1,0,1.9,0.227340804
R,11/03/2017,15:00:00,bright,1dark,85-75-75,1,0,1.9,0.36590405
R,15/11/2017,15:00:00,bright,1dark,63-58-55,1,0,1.91,0.119903714
G,30/10/2017,11:30:00,dark,1dark,40-40-40,1,0,1.91,0.125392552
G,27/10/2017,10:00:00,dark,1dark,40-40-40,1,0,1.91,0.125392552
G,20/10/2017,13:00:00,bright,1dark,66-58-55,1,0,1.91,0.148335617
C,11/03/2017,15:00:00,dark,1dark,36-36-36,1,0,1.91,0.162338153
R,11/07/2017,14:00:00,dark,1dark,36-36-36,1,0,1.91,0.162338153
E,20/10/2017,10:00:00,dark,2bright,30-30-30,1,0,1.93,0.369359853
N,11/07/2017,13:00:00,dark,1dark,40-40-40,1,0,1.94,0.125392552
B,20/10/2017,10:00:00,bright,2bright,75-71-69,1,0,1.94,0.129079105
E,23/10/2017,11:00:00,dark,2bright,50-50-50,1,0,1.94,0.146998711
J,27/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.94,0.162338153
N,15/11/2017,15:00:00,bright,1dark,85-75-75,1,0,1.94,0.36590405
R,15/11/2017,15:00:00,bright,1dark,85-75-75,1,0,1.94,0.36590405
E,11/07/2017,13:00:00,dark,2bright,30-30-30,1,0,1.94,0.369359853
D,24/10/2017,10:00:00,bright,2bright,plain,1,0,1.94,0.419240736
C,11/03/2017,15:00:00,dark,1dark,40-40-40,1,0,1.96,0.125392552
N,31/10/2017,16:00:00,bright,1dark,55-55-55,1,0,1.97,0.098101105
R,11/10/2017,10:00:00,dark,1dark,36-36-36,1,0,1.97,0.162338153
D,13/11/2017,15:00:00,bright,2bright,85-75-75,1,0,1.97,0.217397242
N,15/11/2017,15:00:00,dark,1dark,30-30-30,1,0,1.97,0.227340804
R,11/10/2017,10:00:00,bright,1dark,85-75-75,1,0,1.97,0.36590405
B,11/10/2017,10:00:00,bright,2bright,plain,1,0,1.97,0.419240736
N,31/10/2017,16:00:00,dark,1dark,45-45-45,1,0,2,0.07566594
N,11/09/2017,15:00:00,dark,1dark,45-45-45,1,0,2,0.07566594
R,11/03/2017,15:00:00,bright,1dark,55-55-55,1,0,2,0.098101105
G,11/07/2017,15:00:00,bright,1dark,63-58-55,1,0,2,0.119903714
R,16/11/2017,10:00:00,bright,1dark,66-58-55,1,0,2,0.148335617
H,11/07/2017,13:00:00,dark,2bright,48-48-48,1,0,2,0.197223484
M,11/07/2017,13:00:00,dark,2bright,48-48-48,1,0,2,0.197223484
B,24/10/2017,10:00:00,bright,2bright,85-75-75,1,0,2,0.217397242
B,13/11/2017,15:00:00,bright,2bright,85-75-75,1,0,2,0.217397242
H,25/10/2017,11:00:00,bright,2bright,85-75-75,1,0,2,0.217397242
R,13/11/2017,15:00:00,dark,1dark,30-30-30,1,0,2,0.227340804
R,11/10/2017,10:00:00,dark,1dark,30-30-30,1,0,2,0.227340804
T,24/10/2017,10:00:00,dark,1dark,30-30-30,1,0,2,0.227340804
T,11/09/2017,15:00:00,dark,1dark,30-30-30,1,0,2,0.227340804
G,11/09/2017,15:00:00,bright,1dark,85-75-75,1,0,2,0.36590405
O,11/10/2017,10:00:00,bright,2bright,plain,1,0,2,0.419240736
I,11/03/2017,15:00:00,bright,1dark,85-75-75,1,0,2.02,0.36590405
N,11/03/2017,15:00:00,bright,1dark,55-55-55,1,0,2.03,0.098101105
B,31/10/2017,16:00:00,bright,2bright,75-71-69,1,0,2.03,0.129079105
B,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,2.03,0.129079105
F,11/10/2017,10:00:00,bright,2bright,75-71-69,1,0,2.03,0.129079105
F,11/07/2017,15:00:00,bright,2bright,75-71-69,1,0,2.03,0.129079105
M,27/10/2017,10:00:00,bright,2bright,75-71-69,1,0,2.03,0.129079105
I,27/10/2017,10:00:00,bright,1dark,66-58-55,1,0,2.03,0.148335617
N,11/06/2017,14:00:00,bright,1dark,66-58-55,1,0,2.03,0.148335617
T,14/11/2017,14:00:00,bright,1dark,66-58-55,1,0,2.03,0.148335617
M,11/03/2017,15:00:00,dark,2bright,48-48-48,1,0,2.03,0.197223484
B,11/08/2017,14:00:00,bright,2bright,85-75-75,1,0,2.03,0.217397242
G,23/10/2017,10:00:00,dark,1dark,30-30-30,1,0,2.03,0.227340804
J,14/11/2017,15:00:00,bright,1dark,85-75-75,1,0,2.03,0.36590405
N,11/03/2017,15:00:00,bright,1dark,85-75-75,1,0,2.03,0.36590405
G,27/10/2017,10:00:00,bright,1dark,63-58-55,1,0,2.06,0.119903714
J,27/10/2017,10:00:00,dark,1dark,40-40-40,1,0,2.06,0.125392552
R,15/11/2017,15:00:00,dark,1dark,40-40-40,1,0,2.06,0.125392552
T,11/03/2017,15:00:00,dark,1dark,40-40-40,1,0,2.06,0.125392552
M,25/10/2017,11:00:00,bright,2bright,75-71-69,1,0,2.06,0.129079105
