Fish_ID,Date,Comp_Num,Comparison,Stimulus,Area_large,Area_small,Stimulus_Side,Time_with_Stim,Latency_to_Visit,Visits_to_Stim
Green,25-Mar,2,120v100,120,1054,721,Right,115.8,36.3,4
Green,25-Mar,2,120v100,100,1054,721,Left,10.3,152.3,1
GreenBlue,26-Mar,2,120v100,120,1054,721,Left,34.7,51.3,4
GreenBlue,26-Mar,2,120v100,100,1054,721,Right,13.3,68.1,2
GreenBlue,24-Mar,2,120v100,120,1054,721,Right,35.5,92.7,2
GreenBlue,24-Mar,2,120v100,100,1054,721,Left,48.2,72.5,3
GreenGreen,23-Mar,2,120v100,120,1054,721,Left,1.8,153.4,1
GreenGreen,23-Mar,2,120v100,100,1054,721,Right,77,26.4,14
GreenGreen,25-Mar,2,120v100,120,1054,721,Right,68.2,54.9,4
GreenGreen,25-Mar,2,120v100,100,1054,721,Left,14.5,70.4,3
GreenOrange,23-Mar,2,120v100,120,1054,721,Left,29.3,30.1,1
GreenOrange,23-Mar,2,120v100,100,1054,721,Right,117.3,21.3,3
GreenOrange,25-Mar,2,120v100,120,1054,721,Right,0,0,0
GreenOrange,25-Mar,2,120v100,100,1054,721,Left,74.4,40.4,10
GreenRed,23-Mar,2,120v100,120,1054,721,Left,6,8.1,2
GreenRed,23-Mar,2,120v100,100,1054,721,Right,43.5,2,6
GreenRed,25-Mar,2,120v100,120,1054,721,Right,73,26.6,6
GreenRed,25-Mar,2,120v100,100,1054,721,Left,56.3,0.2,8
Orange,23-Mar,2,120v100,120,1054,721,Left,0,0,0
Orange,23-Mar,2,120v100,100,1054,721,Right,0,0,0
Orange,25-Mar,2,120v100,120,1054,721,Right,0,0,0
Orange,25-Mar,2,120v100,100,1054,721,Left,0,0,0
OrangeBlue,23-Mar,2,120v100,120,1054,721,Left,0,0,0
OrangeBlue,23-Mar,2,120v100,100,1054,721,Right,0,0,0
OrangeBlue,25-Mar,2,120v100,120,1054,721,Right,83.3,0.3,4
OrangeBlue,25-Mar,2,120v100,100,1054,721,Left,0,0,0
OrangeOrange,23-Mar,2,120v100,120,1054,721,Left,44.6,29.1,5
OrangeOrange,23-Mar,2,120v100,100,1054,721,Right,65.8,10.6,6
OrangeOrange,25-Mar,2,120v100,120,1054,721,Right,97.8,48.6,3
OrangeOrange,25-Mar,2,120v100,100,1054,721,Left,44.7,28.7,3
OrangePink,26-Mar,2,120v100,120,1054,721,Left,0,0,0
OrangePink,26-Mar,2,120v100,100,1054,721,Right,0,0,0
OrangePink,24-Mar,2,120v100,120,1054,721,Right,16.2,92,1
OrangePink,24-Mar,2,120v100,100,1054,721,Left,60.2,119.8,1
OrangeRed,26-Mar,2,120v100,120,1054,721,Left,0,0,0
OrangeRed,26-Mar,2,120v100,100,1054,721,Right,161.8,18.2,1
OrangeRed,24-Mar,2,120v100,120,1054,721,Right,52,127.8,3
OrangeRed,24-Mar,2,120v100,100,1054,721,Left,0,0,0
Pink,26-Mar,2,120v100,120,1054,721,Left,180,1,1
Pink,26-Mar,2,120v100,100,1054,721,Right,0,0,0
Pink,24-Mar,2,120v100,120,1054,721,Right,36.4,18.8,2
Pink,24-Mar,2,120v100,100,1054,721,Left,0,0,0
PinkBlue,26-Mar,2,120v100,120,1054,721,Left,62.8,12.8,7
PinkBlue,26-Mar,2,120v100,100,1054,721,Right,11.2,15.4,1
PinkBlue,24-Mar,2,120v100,120,1054,721,Right,106.4,27.5,3
PinkBlue,24-Mar,2,120v100,100,1054,721,Left,35.4,10.5,7
PinkOrange,26-Mar,2,120v100,120,1054,721,Left,44.8,13.4,3
PinkOrange,26-Mar,2,120v100,100,1054,721,Right,74.6,27.1,4
PinkOrange,24-Mar,2,120v100,120,1054,721,Right,61.9,49.3,4
PinkOrange,24-Mar,2,120v100,100,1054,721,Left,40.9,62.6,3
PinkPink,23-Mar,2,120v100,120,1054,721,Left,74.3,75.1,3
PinkPink,23-Mar,2,120v100,100,1054,721,Right,74.2,33.1,5
PinkPink,25-Mar,2,120v100,120,1054,721,Right,46.7,30.7,8
PinkPink,25-Mar,2,120v100,100,1054,721,Left,0,0,0
PinkRed,26-Mar,2,120v100,120,1054,721,Left,81,43.9,2
