group,u,s,m,l
real,0.047828923,0.275481448,0.33689782,0.339791809
real,0.056256567,0.268635568,0.327360212,0.347747653
real,0.042709273,0.203707212,0.327966174,0.42561734
real,0.044580316,0.220510816,0.335127266,0.399781601
real,0.047926556,0.218012616,0.322597011,0.411463817
real,0.054872158,0.257503488,0.330773914,0.356850441
real,0.053199013,0.264967405,0.330090192,0.35174339
real,0.041499347,0.221862552,0.330902126,0.405735975
real,0.051073502,0.254868193,0.329811105,0.3642472
real,0.050347352,0.255308496,0.330742784,0.363601368
real,0.039975807,0.265589666,0.33743394,0.357000587
real,0.044410249,0.273030834,0.335448642,0.347110275
real,0.051028905,0.245855815,0.329874334,0.373240946
real,0.042569119,0.280049324,0.337511968,0.339869589
real,0.047987229,0.285395845,0.33491822,0.331698706
real,0.026836863,0.206217906,0.358186321,0.408758911
real,0.040040432,0.237577523,0.343701874,0.378680171
real,0.041865395,0.228174319,0.346733221,0.383227065
real,0.035882905,0.24822371,0.337760564,0.378132821
real,0.036744976,0.289818699,0.338446908,0.334989417
real,0.045677066,0.266050025,0.335525517,0.352747393
real,0.045457756,0.271100711,0.335483509,0.347958025
real,0.045458466,0.291485963,0.334161284,0.328894286
real,0.056368096,0.260648322,0.326637295,0.356346287
real,0.053471153,0.261856993,0.329824383,0.354847471
real,0.052547471,0.264740421,0.33125725,0.351454859
real,0.045035256,0.287103399,0.333890236,0.333971109
real,0.043029592,0.231366369,0.337443551,0.388160489
real,0.045182827,0.23191779,0.336297611,0.386601772
real,0.031258514,0.188861499,0.342454059,0.437425928
real,0.041068882,0.219644724,0.336901119,0.402385276
real,0.032219914,0.251050672,0.342296541,0.374432873
real,0.034451531,0.187632808,0.340015983,0.437899679
real,0.0494375,0.260770833,0.332898019,0.356893648
real,0.050726415,0.246444293,0.33421362,0.368615671
real,0.045402688,0.249761348,0.334499883,0.370336081
real,0.048224208,0.246853306,0.32940598,0.375516506
real,0.047202416,0.265911251,0.336783928,0.350102405
real,0.050409579,0.2583316,0.331801887,0.359456934
real,0.049202614,0.237469689,0.332525694,0.380802004
real,0.048913115,0.239539906,0.332737766,0.378809213
real,0.048520848,0.248643565,0.331973671,0.370861917
real,0.052260858,0.25396234,0.331755572,0.362021231
real,0.041681076,0.298203444,0.341484154,0.318631325
real,0.047610608,0.261860789,0.334702356,0.355826248
real,0.055243176,0.270427858,0.32924533,0.345083636
real,0.048291764,0.266093549,0.332216307,0.353398381
real,0.045112221,0.279143374,0.337506006,0.338238399
real,0.050855753,0.28187392,0.333410484,0.333859844
real,0.045526696,0.274387225,0.335214864,0.344871216
real,0.045018557,0.180568512,0.312854239,0.461558692
real,0.053813754,0.269384981,0.33028789,0.346513375
real,0.048816253,0.267664594,0.333139432,0.350379721
real,0.038665498,0.253246457,0.325014445,0.3830736
real,0.04081482,0.241114099,0.329087591,0.38898349
real,0.046717052,0.252430454,0.333033753,0.367818741
real,0.031637359,0.264306663,0.339744829,0.364311149
real,0.035501701,0.278986706,0.338478485,0.347033108
real,0.050346885,0.268496483,0.333132901,0.348023731
real,0.054609884,0.275016044,0.329097243,0.341276829
real,0.041543185,0.260154959,0.337196488,0.361105368
real,0.028274788,0.227530109,0.343471803,0.400723299
real,0.053920887,0.267908393,0.330302161,0.347868559
real,0.055419369,0.270121395,0.329163626,0.34529561
real,0.058159198,0.271521256,0.327620186,0.34269936
real,0.044300331,0.260784425,0.335712637,0.359202606
real,0.041110234,0.253679722,0.334954849,0.370255195
real,0.046562722,0.250255095,0.335332048,0.367850135
real,0.048279601,0.255410868,0.333500152,0.36280938
real,0.047643834,0.256538435,0.334187663,0.361630067
real,0.034384112,0.247601322,0.339276512,0.378738054
real,0.036038712,0.25225325,0.34490855,0.366799487
real,0.038155947,0.26122443,0.345037459,0.355582165
real,0.046589393,0.259370755,0.334609224,0.359430628
real,0.042027229,0.26589561,0.343179595,0.348897565
real,0.033911455,0.241280213,0.345236172,0.379572161
real,0.051020122,0.238138152,0.326813059,0.384028667
