Animal,D (%w/w),High,Low,nmrIntensity1.4,nmrIntensity2,rIntensity,Response,N,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,35,20,0,0,0.545454545,0.8181818,99,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,30,15,0,0,0.666666667,1,138,,,,,,,,,,,,,,,,,,,,,,,,
Bat25,15,25,10,0,0,0.857142857,1,163,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,50,35,0,0,0.352941176,0.7264957,117,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,45,30,0,0,0.4,0.5526316,76,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,40,25,0,0,0.461538462,0.5882353,102,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,35,20,0,0,0.545454545,0.6902655,113,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,30,15,0,0,0.666666667,0.9929078,141,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,25,10,0,0,0.857142857,0.9931507,146,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,15,20,5,0,0,1.2,0.9911504,226,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,50,45,0,0,0.105263158,0.5375,80,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,40,35,0,0,0.133333333,0.5656566,99,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,35,30,0,0,0.153846154,0.6603774,53,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,25,20,0,0,0.222222222,0.556338,142,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,20,15,0,0,0.285714286,0.5288462,104,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,15,10,0,0,0.4,0.8918919,111,,,,,,,,,,,,,,,,,,,,,,,,
Bat28,5,10,5,0,0,0.666666667,0.9166667,24,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,50,35,0,0,0.352941176,0.6014493,138,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,40,25,0,0,0.461538462,0.8474576,177,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,35,20,0,0,0.545454545,0.7407407,189,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,30,15,0,0,0.666666667,0.9852217,203,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,25,10,0,0,0.857142857,0.989418,189,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,15,20,5,0,0,1.2,0.9929078,282,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,50,45,0,0,0.105263158,0.3709677,62,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,45,40,0,0,0.117647059,0.5943396,106,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,40,35,0,0,0.133333333,0.5297619,168,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,35,30,0,0,0.153846154,0.4817073,164,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,25,20,0,0,0.222222222,0.5733333,300,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,20,15,0,0,0.285714286,0.2485549,173,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,15,10,0,0,0.4,0.9548872,266,,,,,,,,,,,,,,,,,,,,,,,,
Bat3,5,10,5,0,0,0.666666667,0.8928571,28,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,50,35,0,0,0.352941176,0.6447368,76,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,45,30,0,0,0.4,0.4197531,81,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,40,25,0,0,0.461538462,0.6461538,65,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,35,20,0,0,0.545454545,0.530303,66,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,30,15,0,0,0.666666667,0.8666667,105,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,25,10,0,0,0.857142857,0.9818182,110,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,15,20,5,0,0,1.2,0.990566,212,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,50,45,0,0,0.105263158,0.5,26,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,45,40,0,0,0.117647059,0.4074074,108,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,40,35,0,0,0.133333333,0.5641026,117,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,35,30,0,0,0.153846154,0.5128205,117,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,30,25,0,0,0.181818182,0.4040404,99,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,25,20,0,0,0.222222222,0.5729167,192,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,20,15,0,0,0.285714286,0.4918033,61,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,15,10,0,0,0.4,0.5933333,450,,,,,,,,,,,,,,,,,,,,,,,,
Bat31,5,10,5,0,0,0.666666667,0.8435374,147,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,50,35,0,0,0.352941176,0.9310345,29,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,45,30,0,0,0.4,0.4528302,53,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,40,25,0,0,0.461538462,0.6444444,45,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,35,20,0,0,0.545454545,0.9787234,47,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,30,15,0,0,0.666666667,1,101,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,25,10,0,0,0.857142857,0.9912281,114,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,15,20,5,0,0,1.2,0.994709,189,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,5,35,30,0,0,0.153846154,0.5882353,68,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,5,15,10,0,0,0.4,0.9333333,15,,,,,,,,,,,,,,,,,,,,,,,,
Bat34,5,10,5,0,0,0.666666667,1,11,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,50,35,0,0,0.352941176,0.6190476,21,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,45,30,0,0,0.4,0.2631579,38,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,40,25,0,0,0.461538462,0.779661,118,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,35,20,0,0,0.545454545,0.6666667,99,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,30,15,0,0,0.666666667,0.9808917,157,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,25,10,0,0,0.857142857,0.9574468,94,,,,,,,,,,,,,,,,,,,,,,,,
Bat37,15,20,5,0,0,1.2,0.975,360,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,45,30,0,0,0.4,0.5524476,143,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,40,25,0,0,0.461538462,0.6,135,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,35,20,0,0,0.545454545,0.6238095,210,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,30,15,0,0,0.666666667,0.8333333,210,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,25,10,0,0,0.857142857,0.9572193,187,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,15,20,5,0,0,1.2,0.9935275,309,,,,,,,,,,,,,,,,,,,,,,,,
Bat4,5,50,45,0,0,0.105263158,0.4659091,88,,,,,,,,,,,,,,,,,,,,,16,15,,FALSE
Bat4,5,45,40,0,0,0.117647059,0.5254237,59,,,,,,,,,,,,,,,,,,,,,48,15,,FALSE
Bat4,5,40,35,0,0,0.133333333,0.7,80,,,,,,,,,,,,,,,,,,,,,64,15,,FALSE
Bat4,5,35,30,0,0,0.153846154,0.5079365,126,,,,,,,,,,,,,,,,,,,,,83,15,,FALSE
Bat4,5,30,25,0,0,0.181818182,0.484375,128,,,,,,,,,,,,,,,,,,,,,23,15,,FALSE
Bat4,5,25,20,0,0,0.222222222,0.5900901,222,,,,,,,,,,,,,,,,,,,,,75,15,,FALSE
Bat4,5,20,15,0,0,0.285714286,0.4545455,77,,,,,,,,,,,,,,,,,,,,,68,15,,FALSE
Bat4,5,15,10,0,0,0.4,0.7355932,295,,,,,,,,,,,,,,,,,,,,,28,5,,FALSE
Bat40,15,50,35,0,0,0.352941176,0.6813187,91,,,,,,,,,,,,,,,,,,,,,47,5,,FALSE
Bat40,15,45,30,0,0,0.4,0.5344828,116,,,,,,,,,,,,,,,,,,,,,38,5,,FALSE
Bat40,15,40,25,0,0,0.461538462,0.6272189,169,,,,,,,,,,,,,,,,,,,,,60,5,,FALSE
Bat40,15,35,20,0,0,0.545454545,0.713615,213,,,,,,,,,,,,,,,,,,,,,140,5,,FALSE
Bat40,15,30,15,0,0,0.666666667,0.9552239,134,,,,,,,,,,,,,,,,,,,,,129,5,,FALSE
Bat40,15,25,10,0,0,0.857142857,0.974359,156,,,,,,,,,,,,,,,,,,,,,149,5,,FALSE
Bat40,15,20,5,0,0,1.2,0.9583333,96,,,,,,,,,,,,,,,,,,,,,10,5,,FALSE
Bat40,5,50,45,0,0,0.105263158,0.4074074,54,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,45,40,0,0,0.117647059,0.4193548,62,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,40,35,0,0,0.133333333,0.4714286,70,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,35,30,0,0,0.153846154,0.3760684,117,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,30,25,0,0,0.181818182,0.6078431,153,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,25,20,0,0,0.222222222,0.7575758,33,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,20,15,0,0,0.285714286,0.4708171,257,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,15,10,0,0,0.4,0.7368421,133,,,,,,,,,,,,,,,,,,,,,,,,
Bat40,5,10,5,0,0,0.666666667,0.8035714,56,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,50,35,0,0,0.352941176,0.4098361,122,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,45,30,0,0,0.4,0.6238532,109,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,40,25,0,0,0.461538462,0.8229167,96,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,35,20,0,0,0.545454545,0.8666667,75,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,30,15,0,0,0.666666667,0.9586777,121,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,25,10,0,0,0.857142857,0.9734513,113,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,15,20,5,0,0,1.2,0.9964912,285,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,50,45,0,0,0.105263158,0.5813953,43,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,45,40,0,0,0.117647059,0.66,50,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,40,35,0,0,0.133333333,0.6065574,61,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,35,30,0,0,0.153846154,0.4375,16,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,30,25,0,0,0.181818182,0.625,120,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,25,20,0,0,0.222222222,0.5905512,127,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,20,15,0,0,0.285714286,0.8684211,76,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,15,10,0,0,0.4,0.4219949,391,,,,,,,,,,,,,,,,,,,,,,,,
Bat41,5,10,5,0,0,0.666666667,0.9571429,70,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,50,35,0,0,0.352941176,0.6711409,149,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,45,30,0,0,0.4,0.5244755,143,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,40,25,0,0,0.461538462,0.6648936,188,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,35,20,0,0,0.545454545,0.72,250,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,30,15,0,0,0.666666667,0.9679144,187,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,25,10,0,0,0.857142857,0.96875,192,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,15,20,5,0,0,1.2,0.9396552,348,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,5,30,25,0,0,0.181818182,0.58,50,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,5,25,20,0,0,0.222222222,0.6810345,116,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,5,20,15,0,0,0.285714286,0.568,125,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,5,15,10,0,0,0.4,0.859375,320,,,,,,,,,,,,,,,,,,,,,,,,
Bat46,5,10,5,0,0,0.666666667,0.75,76,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,15,50,35,0,0,0.352941176,0.4070796,113,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,15,40,25,0,0,0.461538462,0.994012,167,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,15,35,20,0,0,0.545454545,0.8587571,177,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,15,30,15,0,0,0.666666667,0.9891304,184,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,15,20,5,0,0,1.2,0.9911504,226,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,50,45,0,0,0.105263158,0.5,80,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,45,40,0,0,0.117647059,0.4848485,99,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,40,35,0,0,0.133333333,0.4160584,137,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,35,30,0,0,0.153846154,0.3770492,122,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,30,25,0,0,0.181818182,0.5068493,73,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,25,20,0,0,0.222222222,0.6021505,93,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,20,15,0,0,0.285714286,0.3567568,185,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,15,10,0,0,0.4,0.7908497,153,,,,,,,,,,,,,,,,,,,,,,,,
Bat49,5,10,5,0,0,0.666666667,0.8823529,17,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,50,35,0,0,0.352941176,0.9328358,134,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,45,30,0,0,0.4,0.6953642,151,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,40,25,0,0,0.461538462,0.7032258,155,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,35,20,0,0,0.545454545,0.8666667,210,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,30,15,0,0,0.666666667,1,164,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,25,10,0,0,0.857142857,0.984252,127,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,15,20,5,0,0,1.2,0.9627119,295,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,50,45,0,0,0.105263158,0.2777778,18,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,40,35,0,0,0.133333333,0.6056338,71,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,30,25,0,0,0.181818182,0.4732824,131,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,25,20,0,0,0.222222222,0.635468,203,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,20,15,0,0,0.285714286,0.4090909,22,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,15,10,0,0,0.4,0.8481675,191,,,,,,,,,,,,,,,,,,,,,,,,
Bat50,5,10,5,0,0,0.666666667,0.9691358,648,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,45,30,0,0,0.4,0.5315315,111,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,40,25,0,0,0.461538462,0.5704225,142,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,35,20,0,0,0.545454545,0.8430233,172,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,30,15,0,0,0.666666667,0.9934211,152,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,25,10,0,0,0.857142857,0.9642857,84,,,,,,,,,,,,,,,,,,,,,,,,
Bat52,15,20,5,0,0,1.2,1,139,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,50,35,0,0,0.352941176,0.5074627,134,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,45,30,0,0,0.4,0.5,144,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,40,25,0,0,0.461538462,0.5555556,162,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,35,20,0,0,0.545454545,0.5530973,226,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,30,15,0,0,0.666666667,0.8744589,231,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,25,10,0,0,0.857142857,0.9703704,135,,,,,,,,,,,,,,,,,,,,,,,,
Bat54,15,20,5,0,0,1.2,0.9738562,306,,,,,,,,,,,,,,,,,,,,,,,,
