"a","b","abs_diff","mean_ab","response"
2.8,3.5,0.7,3.15,1
2.8,3.1,0.3,2.95,1
2.8,3.3,0.5,3.05,0
2.8,2.9,0.1,2.85,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,1
2.8,2.9,0.1,2.85,1
2.8,3.3,0.5,3.05,1
2.8,3,0.2,2.9,0
2.8,3.2,0.4,3,1
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,1
2.8,2.9,0.1,2.85,0
2.8,3.5,0.7,3.15,1
2.8,3.1,0.3,2.95,0
2.8,3.4,0.6,3.1,1
2.8,3,0.2,2.9,0
2.8,3.3,0.5,3.05,1
2.8,3.1,0.3,2.95,1
2.8,3.5,0.7,3.15,1
2.8,2.9,0.1,2.85,1
2.8,3.3,0.5,3.05,1
2.8,3.4,0.6,3.1,1
2.8,3,0.2,2.9,1
2.8,3.2,0.4,3,1
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,0
2.8,3.1,0.3,2.95,1
2.8,2.9,0.1,2.85,1
2.8,3.3,0.5,3.05,0
2.8,3,0.2,2.9,0
2.8,3.4,0.6,3.1,0
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,1
2.8,3,0.2,2.9,1
2.8,2.9,0.1,2.85,1
2.8,3.4,0.6,3.1,1
2.8,3.3,0.5,3.05,1
2.8,3.1,0.3,2.95,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,1
2.8,3,0.2,2.9,1
2.8,3.2,0.4,3,1
2.8,3.5,0.7,3.15,1
2.8,2.9,0.1,2.85,1
2.8,3.3,0.5,3.05,1
2.8,3.1,0.3,2.95,1
2.8,3.4,0.6,3.1,1
2.8,3.1,0.3,2.95,0
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,1
2.8,2.9,0.1,2.85,0
2.8,3.3,0.5,3.05,0
2.8,3,0.2,2.9,1
2.8,3.4,0.6,3.1,1
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,1
2.8,3.5,0.7,3.15,1
2.8,2.9,0.1,2.85,0
2.8,3.2,0.4,3,1
2.8,3.5,0.7,3.15,1
2.8,3.2,0.4,3,0
2.8,3,0.2,2.9,1
2.8,3.3,0.5,3.05,0
