ID,Leading_spkr,Leading,Lagging,AbsDiff,PercDiff,Choice,Response,Trial_order
Hch-364-19,2,20,22,2,10,Lead,Y,3
Hch-087-19,1,20,24,4,20,Lag,Y,8
Hch-094-19,1,20,24,4,20,Lag,Y,15
Hch-096-19,1,20,24,4,20,Lag,Y,8
Hch-097-19,1,20,24,4,20,Lag,Y,8
Hch-098-19,1,20,24,4,20,Lead,Y,11
Hch-099-19,1,20,24,4,20,Lag,Y,2
Hch-100-19,1,20,24,4,20,NA,N,3
Hch-101-19,1,20,24,4,20,NA,N,8
Hch-102-19,1,20,24,4,20,Lag,Y,5
Hch-127-19,2,20,24,4,20,Lag,Y,9
Hch-128-19,2,20,24,4,20,Lead,Y,5
Hch-130-19,2,20,24,4,20,Lead,Y,10
Hch-131-19,2,20,24,4,20,Lag,Y,7
Hch-132-19,2,20,24,4,20,Lag,Y,2
Hch-133-19,2,20,24,4,20,Lag,Y,1
Hch-134-19,2,20,24,4,20,Lag,Y,11
Hch-135-19,2,20,24,4,20,Lead,Y,9
Hch-149-19,1,20,24,4,20,NA,N,6
Hch-150-19,1,20,24,4,20,Lag,Y,6
Hch-151-19,1,20,24,4,20,Lead,Y,8
Hch-152-19,1,20,24,4,20,Lead,Y,1
Hch-153-19,1,20,24,4,20,Lag,Y,12
Hch-154-19,1,20,24,4,20,Lag,Y,9
Hch-155-19,1,20,24,4,20,Lead,Y,5
Hch-156-19,1,20,24,4,20,Lead,Y,10
Hch-157-19,1,20,24,4,20,Lead,Y,3
Hch-176-19,2,20,24,4,20,Lag,Y,12
Hch-177-19,2,20,24,4,20,Lag,Y,1
Hch-180-19,2,20,24,4,20,Lead,Y,3
Hch-182-19,2,20,24,4,20,Lag,Y,3
Hch-203-19,1,20,24,4,20,Lag,Y,3
Hch-204-19,1,20,24,4,20,Lead,Y,12
Hch-205-19,1,20,24,4,20,Lead,Y,9
Hch-206-19,1,20,24,4,20,Lag,Y,2
Hch-207-19,1,20,24,4,20,Lag,Y,5
Hch-208-19,1,20,24,4,20,Lag,Y,9
Hch-245-19,2,20,24,4,20,NA,N,9
Hch-246-19,2,20,24,4,20,Lag,Y,3
Hch-247-19,2,20,24,4,20,Lag,Y,3
Hch-248-19,2,20,24,4,20,NA,N,8
Hch-249-19,2,20,24,4,20,Lag,Y,6
Hch-259-19,1,20,24,4,20,Lag,Y,6
Hch-260-19,1,20,24,4,20,Lead,Y,7
Hch-261-19,1,20,24,4,20,Lead,Y,10
Hch-279-19,1,20,24,4,20,Lead,Y,9
Hch-281-19,1,20,24,4,20,Lag,Y,8
Hch-282-19,1,20,24,4,20,Lag,Y,1
Hch-284-19,1,20,24,4,20,Lag,Y,1
Hch-314-19,2,20,24,4,20,Lag,Y,12
