"date","ref_roughness","delta_roughness","IR_ID_1","IR_ID_2","ref_target","choice_target","time_delay","bat_no"
7.32078499750972,1.8,1,339,586,2,2,2.141,1
7.32078499910833,1.8,0.3,335,415,1,2,2.187,1
7.32078500079201,1.8,1.5,342,713,1,1,2.734,1
7.32078500261678,1.8,0.1,330,360,2,2,1.922,1
7.32078500557176,1.8,1.2,331,650,1,1,7.109,1
7.32078501059387,1.8,0.7,348,512,1,1,2.641,1
7.32078501259039,1.8,0.4,327,448,2,2,3.063,1
7.32078501449282,1.8,1,333,596,2,2,3.141,1
7.32078501643692,1.8,1.4,344,685,1,1,2.719,1
7.32078501966505,1.8,0.2,338,376,2,2,2.641,1
7.32078502198704,1.8,0.8,326,528,1,1,3.5,1
7.32078502376296,1.8,1.3,333,675,1,1,2.344,1
7.32078502584444,1.8,0.1,347,375,2,2,3.703,1
7.32078502783565,1.8,1.1,337,604,2,2,4.828,1
7.32078503177083,1.8,0.3,332,424,2,2,3.64,1
7.32078503466065,1.8,1.5,350,703,1,1,4.016,1
7.32078503705683,1.8,0.5,341,475,1,1,4.609,1
7.32078503963935,1.8,0.9,348,558,1,1,3.563,1
7.32078504271192,1.8,0.6,328,493,2,2,4.641,1
7.32078504523472,1.8,1.2,345,629,2,2,7.265,1
7.32078504789491,1.8,0.8,349,548,1,1,10.859,1
7.32078505170718,1.8,0.3,345,404,2,2,5.953,1
7.32078505641632,1.8,0.6,332,497,2,2,5.938,1
7.32078505866782,1.8,1.4,346,685,1,1,2.516,1
7.32078506184352,1.8,1,326,589,2,2,3.031,1
7.32078506530301,1.8,0.1,334,363,1,1,1.656,1
7.32078507251331,1.8,1.5,331,711,1,1,5.75,1
7.32078507685185,1.8,0.5,346,471,2,1,2.704,1
7.32078507872893,1.8,1.3,334,671,1,1,5.016,1
7.32078508628831,1.8,0.7,350,523,2,2,5.079,1
7.32078508884907,1.8,0.2,328,390,1,2,10.297,1
7.3207850902397,1.8,1.1,338,613,1,1,2.172,1
7.32078509285475,1.8,0.4,336,435,2,2,4.328,1
7.3207850966037,1.8,0.9,347,573,2,2,3.922,1
7.32078510355174,1.8,1.3,346,666,2,2,8.672,1
7.32078512065243,1.8,0.7,341,520,1,1,42.016,1
7.32078512255127,1.8,0.3,347,418,1,2,2.515,1
7.32078513257373,1.8,1,336,586,2,2,54.64,1
7.32079628245255,1.8,1.2,340,641,1,1,2,1
7.32079628416157,1.8,0.5,340,473,2,2,2.203,1
7.32079628576389,1.8,1.5,326,708,1,1,2,1
7.32079628702072,1.8,0.8,339,527,2,1,2.047,1
7.32079628990162,1.8,1.4,343,685,1,1,12.453,1
7.32079629153461,1.8,0.2,335,392,2,2,3,1
7.32079629336655,1.8,0.9,350,562,2,2,2.094,1
7.32079629511713,1.8,0.1,344,364,1,1,1.546,1
7.32079629714988,1.8,0.6,334,500,1,1,2.468,1
7.32079629862373,1.8,1.1,348,615,2,2,2.703,1
7.32079630014826,1.8,0.4,343,447,1,2,4.11,1
7.32079630163484,1.8,1,327,576,1,1,3.406,1
7.3207963032515,1.8,0.4,334,427,1,1,3.375,1
7.32079630521551,1.8,1.3,349,666,2,2,5.141,1
7.32079630703484,1.8,0.1,349,358,2,2,2.907,1
7.32079631086146,1.8,0.8,339,543,2,2,5.98399999999999,1
7.32079631246921,1.8,0.6,332,494,1,1,3.5,1
7.32079631559236,1.8,1.5,327,709,1,1,7.625,1
7.32079631914965,1.8,0.3,326,424,2,2,3.531,1
7.32079632383715,1.8,1.2,326,627,2,2,8.75,1
7.32079632634549,1.8,0.5,337,461,1,1,4.797,1
7.32079632862407,1.8,1.1,333,610,1,1,4.281,1
7.32079633298426,1.8,0.7,342,502,2,2,2.657,1
7.32079633603148,1.8,0.2,336,400,1,2,2.922,1
7.32079634108252,1.8,0.9,338,568,2,2,3.421,1
7.32079634635046,1.8,1.4,337,692,1,1,4.375,1
7.3207963506691,1.8,1,346,591,1,1,3.547,1
7.32079635388808,1.8,0.7,336,503,2,2,4.156,1
7.32079635652662,1.8,0.4,342,432,2,1,2.954,1
7.32079635938218,1.8,0.1,349,369,1,2,7.375,1
7.32079636074572,1.8,1.5,344,716,1,1,4.453,1
7.32079636439699,1.8,1.3,333,663,2,2,8.016,1
7.32079636808079,1.8,0.5,349,454,2,2,3.875,1
7.32079637022199,1.8,0.2,342,390,1,2,5.265,1
7.32079637157292,1.8,0.8,336,549,2,1,3.282,1
7.32079637415903,1.8,1.2,337,634,1,1,5.078,1
7.32079637734907,1.8,0.6,350,483,2,1,6.625,1
7.32079637872893,1.8,0.3,338,421,1,2,3.312,1
7.32079638155914,1.8,0.9,345,570,2,2,4.515,1
7.32079638567708,1.8,1.4,336,677,1,1,15.64,1
7.32079638881285,1.8,1.1,338,622,1,1,5.672,1
7.32079639255995,1.8,0.8,332,541,2,2,5.469,1
7.32079639719143,1.8,1.1,336,621,1,1,11.766,1
7.32079640293322,1.8,1.4,326,680,1,1,6.48399999999999,1
