Species,HostClutchID,ExpClutchID,Date,Time,ClutchSize,StillLaying,EmbryoScore,Result,MaxTime,Host_UV,Host_SW,Host_MW,Host_LW,Host_D,Exp_UV,Exp_SW,Exp_MW,Exp_LW,Exp_D,JND_Colour,JND_Luminance,Host_MeanLength,Host_MeanBreadth,Exp_Length,Exp_Breadth,Host_Dispersion,Host_StdDispersion,Host_PropPower,Host_FilterSize,Host_PatternProp,Host_PCPower,Exp_Dispersion,Exp_StdDispersion,Exp_PropPower,Exp_FilterSize,Exp_PatternProp,Exp_PCPower,ReplacedEgg,IntraClutch,InterClutch,ExpHost,ExpHost_all,DiffNum,DiffNum_all,ParaDist,Exp_FS,Exp_FSD,Host1_FS,Host1_FSD,Host2_FS,Host2_FSD,Host3_FS,Host3_FSD,Host_FS,Host_FSD,ExpComplexity,Complexity_egg1,Complexity_egg2,Complexity_egg3,AvHostComplexity
Prinia subflava,2008_PS009,2008_PS031 ,17/01/2008,18,3,No,4,0,4,0.34814,0.5102,0.69676,0.76424,0.71172,0.2141,0.2714,0.42342,0.56276,0.46648,4.2974,8.4494,16.43,11.39,16.16,11.15,0.18775,1.864933775,0.335383335,3.166666665,0.11035,-0.04569956,-0.1147,-1.1716037,0.32366667,2.66666667,0.0979,-1.0628488,3,0.92116,0.938768331,0.93359,0.944706667,235,202.3333333,0.953993333,6.927629173,6.039994298,5.568550715,4.451272113,5.734095912,5.203502006,,,5.651323314,4.82738706,3272.529948,3180.886649,3830.638283,,3505.762466
Prinia subflava,2008_PS010,2008_PS026 ,15/01/2008,17,3,Yes,0,1,1,0.35714,0.76288,0.80206,0.64086,0.74186,0.24218,0.38876,0.52274,0.51948,0.51374,6.0038,7.3489,14.84,11.11,15.36,11.26,-0.08075,-0.27209755,0.3517,3,0.39095,-0.78713145,0.6994,1.88568347,0.36153333,3.33333333,0.3709,-1.2535859,3,0.91998,0.937829442,0.978375,0.98156,262,318.3333333,0.96831,10.42173542,9.110976493,7.718748619,5.345162156,7.429572441,6.501764406,,,7.57416053,5.923463281,3113.210128,3242.201115,2832.22858,,3037.214848
Prinia subflava,2008_PS013,2008_PS023 ,16/01/2008,13,3,Yes,0,0,5,0.324,0.51692,0.68464,0.69436,0.67992,0.88282,0.96838,0.99236,0.92666,0.9644,8.1236,6.9906,15.25,11.71,14.73,11.71,0.0675,0.22334781,0.392783335,2.333333335,0.4462,-0.2536047,0.7135,1.93430327,0.34876667,2.66666667,0.36886667,-0.8340354,3,0.911256667,0.938689276,0.90182,0.87594,32.5,5.333333333,0.90486,6.442091701,4.256207778,9.145139826,8.210652849,8.284980549,6.735585259,,,8.715060188,7.473119054,3141.027561,2991.09124,2939.311962,,2965.201601
Prinia subflava,2008_PS016,2008_PS021 ,16/01/2008,12,2,No,0,0,5,0.63122,0.90032,0.96756,0.91976,0.94646,0.57364,0.65934,0.74918,0.82688,0.77122,3.1442,4.0951,14.53,10.71,15.26,11.08,0.4937,1.11160312,0.31546667,2.66666667,0.44413333,1.0538358,0.2021,0.42127571,0.3311,4,0.47973333,2.05852856,2,0.90703,0.939262581,0.93483,0.95214,-544,-604.5,0.940255,5.225989464,4.095725179,6.131213975,4.628068975,,,,,6.131213975,4.628068975,5014.811474,2846.617427,,,2846.617427
Prinia subflava,2008_PS017,2008_PS031 ,16/01/2008,16,2,No,0,0,6,0.15988,0.25216,0.39308,0.47586,0.41658,0.30474,0.38856,0.55002,0.67912,0.58902,3.4066,6.9276,15.6,10.93,15.33,10.84,-0.0962,-0.7671451,0.39193333,2.66666667,0.1254,-0.6118692,0.0362,0.26181292,0.2882,2.66666667,0.13826667,-1.044902,2,0.91011,0.949547377,0.92029,0.89855,-51,-54,0.904495,6.025487686,4.476490115,8.757297699,6.277726982,,,,,8.757297699,6.277726982,2829.112436,2411.146573,,,2411.146573
Prinia subflava,2008_PS032,2008_PS013 ,16/01/2008,17,3,No,0,0,6,0.29728,0.35838,0.55234,0.73894,0.61042,0.324,0.51692,0.68464,0.69436,0.67992,5.7923,2.1566,15.68,11.78,15.03,11.96,0.4719,1.25449306,0.35393333,2.333333335,0.40423333,-0.7953099,0.5484,1.52601799,0.34943333,2,0.35936667,-0.8986002,3,0.90728,0.939632384,0.86026,0.879813333,29.5,36.66666667,0.94636,6.03424476,4.276217758,5.793871746,4.588933944,5.992263546,5.943786149,,,5.893067646,5.266360047,2492.292887,3517.853348,2932.621305,,3225.237327
Prinia subflava,2008_PS033,2008_PS009 ,18/01/2008,10,3,No,0,1,3,0.25072,0.30102,0.49138,0.70006,0.55698,0.34814,0.5102,0.69676,0.76424,0.71172,5.8167,4.9031,15.26,11.56,16.39,11.64,0.0251,0.352644735,0.3199,3,0.116166665,-0.6017565,0,0,0.34126667,2.66666667,0.09643333,0.01815322,3,0.914016667,0.940597327,0.90909,0.904956667,-62,-48.33333333,0.9408,7.296623357,6.63801508,5.211007157,4.12957498,6.018497335,5.271246336,,,5.614752246,4.700410658,3105.004705,3865.309339,3929.137158,,3897.223249
Prinia subflava,2008_PS050,2008_PS045 ,30/01/2008,17,3,No,2,1,2,0.30866,0.81302,0.9365,0.76946,0.86994,0.61852,0.82674,0.92698,0.96988,0.93748,7.8617,1.4954,15.45,11.62,16.18,11.66,-0.27815,-0.59562755,0.390916665,2,0.58168333,0.520875545,-0.1704,-0.4503568,0.33796667,2,0.37836667,2.15611068,3,0.9168,0.939458896,0.91634,0.926363333,-205.5,-264,0.97237,5.998314662,4.80683551,6.003832127,4.232896801,6.362850159,5.077067685,,,6.183341143,4.654982243,4508.074625,3945.41014,4197.461933,,4071.436037
Prinia subflava,2008_PS053,2008_PS007 ,30/01/2008,16,3,No,4,0,3,0.29988,0.82484,0.90872,0.71366,0.83406,0.30568,0.7074,0.77706,0.6339,0.721,1.9271,2.9133,15.26,10.7,14.67,11.1,0.2379,0.554454085,0.3386,3,0.466216665,0.853258705,0.4166,0.86425558,0.36066667,2,0.48203333,-0.3791186,3,0.93095,0.946078787,0.95852,0.94762,495.5,365.3333333,0.934143333,7.39310089,7.114983853,5.543025228,3.745133194,5.437660677,4.270183195,,,5.490342953,4.007658195,3104.165692,3990.652052,4399.045207,,4194.84863
Prinia subflava,2008_PS057,2008_PS042 ,30/01/2008,17,3,No,3,1,2,0.73744,0.98788,1.04504,1.01492,1.03154,0.31072,0.76896,0.8373,0.67844,0.7768,7.0281,5.6725,15.18,10.86,17.29,12,-0.0085,-0.014858045,0.3332,2,0.334966665,4.07663481,-0.1406,-0.4552617,0.42003333,1.66666667,0.30883333,2.08205069,3,0.895986667,0.948235733,0.8982,0.896436667,-41,-18,0.984963333,6.690692583,6.54117267,5.82254786,4.969312305,7.059153039,6.396251864,,,6.44085045,5.682782085,3915.186937,3395.172268,3250.714723,,3322.943496
