Experiment.x,FemaleID.x,Year.x,HostNest.x,EggColour.x,ExpNest.x,Egg_rejected.x,Rejection_Error.x,ExpEggReceived.x,HostEggRemoved.x,EggStage.x,DateManipulation.x,TimeManipulation.x,DayOfRemoval.x,ClutchSize.x,Year_Nest,reduced_OldEmax,reduced_Eprop,reduced_PD,reduced_Emax,reduced_ExpHost,reduced_Complexity
3,120,2020,PS150,White,PS141,0,NO,P3,P3,1,01-Mar,17:00,NA,3,2020_PS150,0.5,0.01775,0.060535078,1.5,0.92917125,1667.009838
3,121,2020,PS151,White,PS118,0,NO,P3,P3,0,01-Mar,17:45,NA,3,2020_PS151,0.25,0.0035,0.06254459,0.75,0.92104625,379.126322
3,122,2020,PS137,Pale blue,PS133,0,NO,P4,P3,0,02-Mar,11:45,NA,3,2020_PS137,0,0.015,0.206539834,1,0.94522,727.227215
3,123,2020,PS153,Pale blue,PS137,0,YES,P3,P2,0,05-Mar,08:15,1,2,2020_PS153,0.5,0.0125,0.01745541,0,0.920945,950.681974
3,73,2020,PS159,White,PS142,0,NO,P4,P5,2,07-Mar,09:30,NA,5,2020_PS159,0.5625,0.003375,0.121694411,0.5,0.91166875,357.874248
3,125,2020,PS164,White-Olive (exptal white),PS150,1,NO,P3,P4,2,08-Mar,08:00,2,4,2020_PS164,0.5,0.0175,0.112128418,0.833333333,0.979018333,1758.852731
3,126,2020,PS161,White,PS159,0,NO,P5,P3,0,08-Mar,08:45,NA,3,2020_PS161,0.625,0.00675,0.135897741,1.25,0.91230875,331.579915
3,127,2020,PS165,Blue,PS096,0,NO,P4,P3,1,08-Mar,17:00,NA,3,2020_PS165,0.75,0.0075,0.05373365,0.75,0.8941525,175.029238
3,128,2020,PS169,Blue,PS166,0,NO,P4,P4,0,09-Mar,16:00,NA,4,2020_PS169,0.166666667,0.003,0.144415378,0.166666667,0.916181667,470.894746
3,129,2020,PS170,Red,PS115,0,NO,P4,P4,2,09-Mar,16:30,NA,4,2020_PS170,0.416666667,0.0115,0.003226318,0.333333333,0.933333333,487.958999
3,130,2020,PS177,White,PS158,0,NO,P4,P4,0,12-Mar,09:15,NA,4,2020_PS177,0.416666667,0.02,0.039429251,0,0.931504167,1448.591685
3,131,2020,PS162,Blue,PS165,0,NO,P3,P4,1,12-Mar,11:15,NA,4,2020_PS162,0.166666667,0.025166667,0.049266747,0,0.9477575,1277.280109
3,132,2020,PS197,White,PS191,0,NO,P4,P3,0,17-Mar,09:00,NA,3,2020_PS197,0.625,0.00225,0.067788348,0.75,0.91142875,607.841928
3,133,2020,PS198,Olive,PS182,0,NO,P3,P3,0,17-Mar,09:15,NA,3,2020_PS198,0.125,0.0755,0.167277051,0.75,0.93509875,748.7767
3,134,2020,PS202,White,PS197,0,NO,P3,P3,0,17-Mar,17:00,NA,3,2020_PS202,0.125,0.00575,0.043174793,1.25,0.9051625,407.355421
