Experiment,FemaleID,Year,HostNest,EggColour,ExpNest,Egg_rejected,Rejection_Error,ExpEggReceived,HostEggRemoved,EggStage,DateManipulation,TimeManipulation,DayOfRemoval,ClutchSize,Exp_Year_Nest_Egg_NestIn,Host_Year_Nest_NestIn,Host_Year_Nest_NestIn_Remain,Exp_COMPLEXITY_a,Exp_COMPLEXITY_b,Exp_COMPLEXITY_c,Exp_COMPLEXITY_d,Exp_COMPLEXITY_ac,Exp_COMPLEXITY_bd,HostAv_COMPLEXITY_all_a,HostAv_COMPLEXITY_all_b,HostAv_COMPLEXITY_all_c,HostAv_COMPLEXITY_all_d,HostAv_COMPLEXITY_all_ac,HostAv_COMPLEXITY_all_bd,HostAv_COMPLEXITY_reduced_a,HostAv_COMPLEXITY_reduced_b,HostAv_COMPLEXITY_reduced_c,HostAv_COMPLEXITY_reduced_d,HostAv_COMPLEXITY_reduced_ac,HostAv_COMPLEXITY_reduced_bd
3,89,2020,PS096,Blue,PS091,0,NO,P4,P4,0,18-Feb,11:15,NA,4,2020_PS091_P4_PS096,2020_PS096_PS096,2020_PS096_PS096_TRUE,2395.657624,2834.499991,2988.32977,2773.232393,2691.993697,2803.866192,2733.207939,3343.267237,3065.292451,2891.29498,2899.250195,3117.281109,2671.961238,3382.784691,3202.917242,2940.173934,2937.43924,3161.479312
3,104,2020,PS094,Olive,PS079,0,NO,P4,P3,0,19-Feb,09:00,NA,3,2020_PS079_P4_PS094,2020_PS094_PS094,2020_PS094_PS094_TRUE,1963.001066,1534.792255,1920.107947,2023.440698,1941.554507,1779.116477,2287.655933,2309.115286,2395.838117,2385.690782,2341.747025,2347.403034,2194.36415,2404.546201,2280.39471,2342.221532,2237.37943,2373.383867
3,105,2020,PS099,White-blue,PS053,0,NO,P3,P4,0,19-Feb,16:15,NA,4,2020_PS053_P3_PS099,2020_PS099_PS099,2020_PS099_PS099_TRUE,4809.154066,4979.280216,3119.10791,5069.178226,3964.130988,5024.229221,4759.148358,4705.398324,3106.613091,4072.41752,3932.880725,4388.907922,4591.259183,4611.720104,3051.092357,3848.035815,3821.17577,4229.877959
3,106,2020,PS100,Blue (exptal pale olive-blue-ish),PS045,1,NO,P3,P3,0,19-Feb,17:00,1,3,2020_PS045_P3_PS100,2020_PS100_PS100,2020_PS100_PS100_TRUE,2055.310307,2282.18258,2131.767218,1998.748636,2093.538763,2140.465608,2134.290605,2271.611034,2712.500043,2225.029228,2423.395324,2248.320131,2316.406956,2539.746121,3033.561735,2388.714338,2674.984346,2464.230229
3,107,2020,PS102,White,PS098,0,NO,P1,P3,0,20-Feb,08:15,NA,3,2020_PS098_P1_PS102,2020_PS102_PS102,2020_PS102_PS102_TRUE,3391.660405,2897.311099,2771.120612,2769.505239,3081.390509,2833.408169,3836.302639,3346.676608,4079.046963,3617.763882,3957.674801,3482.220245,4026.460032,3428.717221,4232.721464,3759.409077,4129.590748,3594.063149
3,78,2020,PS106,Blue,PS090,0,NO,P4,P3,0,23-Feb,12:00,NA,3,2020_PS090_P4_PS106,2020_PS106_PS106,2020_PS106_PS106_TRUE,2737.049741,2829.990367,2841.492746,3183.538436,2789.271244,3006.764402,3000.456453,3100.913679,2834.678388,2983.851119,2917.567421,3042.382399,3112.327153,3040.380016,2895.55951,3068.58648,3003.943331,3054.483248
3,109,2020,PS117,Olive-white-blue,PS099,0,NO,P4,P3,0,23-Feb,15:15,NA,3,2020_PS099_P4_PS117,2020_PS117_PS117,2020_PS117_PS117_TRUE,3572.678946,924.3582212,2814.532243,2493.829144,3193.605595,1709.093683,2147.722319,1941.855297,1992.570034,1824.634433,2070.146177,1883.244865,2060.648791,1826.757143,2018.019817,1875.075245,2039.334304,1850.916194
3,110,2020,PS120,Pale blue,PS106,0,NO,P3,P4,0,25-Feb,09:00,NA,4,2020_PS106_P3_PS120,2020_PS120_PS120,2020_PS120_PS120_TRUE,2691.180798,2359.864546,2604.563736,2933.298859,2647.872267,2646.581703,4357.966717,3673.132157,2881.061354,3885.904956,3619.514035,3779.518556,4562.593031,3628.278899,2897.221677,3926.485901,3729.907354,3777.3824
3,111,2020,PS128,"Blue, exp Olive-white-blue",PS117,0,NO,P3,P3,0,26-Feb,07:45,NA,3,2020_PS117_P3_PS128,2020_PS128_PS128,2020_PS128_PS128_TRUE,1883.876003,2187.664795,1678.97856,1826.325045,1781.427282,2006.99492,2578.252544,2377.255876,2639.449178,2551.790749,2608.850861,2464.523313,2398.574009,2413.91175,2672.397162,2457.798881,2535.485585,2435.855316
3,112,2020,PS118,White,PS095,0,NO,P4,P3,0,27-Feb,07:30,NA,3,2020_PS095_P4_PS118,2020_PS118_PS118,2020_PS118_PS118_TRUE,3347.877716,2750.69991,3770.420797,3766.645134,3559.149257,3258.672522,3669.596733,3673.603669,3598.533645,3623.563615,3634.065189,3648.583642,3882.160331,3838.625894,3545.589326,3790.289813,3713.874828,3814.457853
3,113,2020,PS133,Blue,PS128,0,NO,P3,P4,0,27-Feb,16:15,NA,4,2020_PS128_P3_PS133,2020_PS133_PS133,2020_PS133_PS133_TRUE,2952.693141,2321.108636,3167.502954,2478.903345,3060.098048,2400.005991,2561.128949,2992.530905,2633.651539,2807.526182,2597.390244,2900.028543,2412.835399,2964.79376,2406.79211,2631.931696,2409.813755,2798.362728
3,114,2020,PS130,Olive,PS094,0,YES,P4,P3,0,29-Feb,09:45,4,3,2020_PS094_P4_PS130,2020_PS130_PS130,2020_PS130_PS130_TRUE,2443.276324,2250.616272,2425.937842,2353.154643,2434.607083,2301.885458,2101.844272,1846.088466,2266.073434,1997.572732,2183.958853,1921.830599,2141.047194,1802.641107,2245.635145,2052.878476,2193.341169,1927.759792
3,115,2020,PS134,Olive-red (exptal red),PS057,0,NO,P2,P3,2,29-Feb,11:00,NA,3,2020_PS057_P2_PS134,2020_PS134_PS134,2020_PS134_PS134_TRUE,1592.743,1483.342747,1866.305159,1914.21817,1729.52408,1698.780459,1305.049641,1514.531459,985.0338093,1504.49426,1145.041725,1509.512859,1449.508331,1487.673201,977.7743599,1658.684501,1213.641345,1573.178851
3,116,2020,PS135,Olive,PS089,0,NO,P3,P4,0,29-Feb,11:15,NA,4,2020_PS089_P3_PS135,2020_PS135_PS135,2020_PS135_PS135_TRUE,2204.426816,1994.427228,2161.749666,1948.18639,2183.088241,1971.306809,1958.39549,1973.517378,1837.655644,1901.38368,1898.025567,1937.450529,1940.62325,2074.812565,1929.773445,1934.860767,1935.198348,2004.836666
3,117,2020,PS136,Olive-red (exptal red),PS014,0,NO,P1,P4,0,29-Feb,12:30,NA,4,2020_PS014_P1_PS136,2020_PS136_PS136,2020_PS136_PS136_TRUE,1071.786742,1292.505463,1575.408686,1321.252405,1323.597714,1306.878934,1682.182721,1709.714425,1414.598587,1813.858045,1548.390654,1761.786235,1710.171156,1761.299025,1377.955085,1849.673782,1544.063121,1805.486404
3,118,2020,PS141,White,PS129,0,NO,P4,P3,0,01-Mar,08:15,NA,3,2020_PS129_P4_PS141,2020_PS141_PS141,2020_PS141_PS141_TRUE,3089.678528,3854.683405,3910.528537,4077.583477,3500.103533,3966.133441,3068.86767,3449.628705,3497.938973,3562.999946,3283.403321,3506.314326,3123.562696,3485.636341,3485.835416,3184.418627,3304.699056,3335.027484
3,119,2020,PS146,Olive-blue,PS135,1,NO,P4,P3,0,01-Mar,15:15,1,3,2020_PS135_P4_PS146,2020_PS146_PS146,2020_PS146_PS146_TRUE,1401.720866,1482.485896,1909.527926,1952.241655,1655.624396,1717.363776,2017.433941,2091.06997,2008.582658,1863.275457,2013.0083,1977.172714,1902.479715,1972.126731,1886.05769,1859.926219,1894.268703,1916.026475
3,120,2020,PS150,White,PS141,0,NO,P3,P3,1,01-Mar,17:00,NA,3,2020_PS141_P3_PS150,2020_PS150_PS150,2020_PS150_PS150_TRUE,4498.869577,4481.47166,4018.02092,3741.614502,4258.445249,4111.543081,2877.493584,2868.717468,2840.917191,2891.550317,2859.205388,2880.133893,2638.822673,2459.758869,2544.048148,2503.58549,2591.435411,2481.672179
3,121,2020,PS151,White,PS118,0,NO,P3,P3,0,01-Mar,17:45,NA,3,2020_PS118_P3_PS151,2020_PS151_PS151,2020_PS151_PS151_TRUE,3897.05458,3544.305887,2759.77586,3220.261892,3328.41522,3382.28389,3499.885409,3450.03837,2869.657788,2982.894926,3184.771598,3216.466648,3239.330839,3244.559516,2659.246957,2823.627337,2949.288898,3034.093426
3,122,2020,PS137,Pale blue,PS133,0,NO,P4,P3,0,02-Mar,11:45,NA,3,2020_PS133_P4_PS137,2020_PS137_PS137,2020_PS137_PS137_TRUE,2513.26341,2614.901098,2328.864412,2361.093933,2421.063911,2487.997516,3424.34326,2855.144558,2932.22073,3291.308458,3178.281995,3073.226508,3510.848057,2649.465784,2785.734195,3302.130555,3148.291126,2975.798169
3,123,2020,PS153,Pale blue,PS137,0,YES,P3,P2,0,05-Mar,08:15,1,2,2020_PS137_P3_PS153,2020_PS153_PS153,2020_PS153_PS153_TRUE,3554.012827,3437.070816,2917.163718,3592.228856,3235.588273,3514.649836,3829.167086,2893.964613,3004.085496,3819.332722,3416.626291,3356.648667,4843.364146,3214.556971,3529.176348,4885.371254,4186.270247,4049.964113
3,73,2020,PS159,White,PS142,0,NO,P4,P5,2,07-Mar,09:30,NA,5,2020_PS142_P4_PS159,2020_PS159_PS159,2020_PS159_PS159_TRUE,3949.415895,2837.731875,2880.159465,4283.40035,3414.78768,3560.566113,3019.376397,2062.331034,3016.550214,3706.445875,3017.963306,2884.388455,3028.618215,2090.162267,3085.208649,3818.171646,3056.913432,2954.166956
3,125,2020,PS164,White-Olive (exptal white),PS150,1,NO,P3,P4,2,08-Mar,08:00,2,4,2020_PS150_P3_PS164,2020_PS164_PS164,2020_PS164_PS164_TRUE,3872.866513,2883.415361,3511.743486,3452.532603,3692.305,3167.973982,2315.958874,2453.085863,1930.445937,2243.940058,2123.202406,2348.51296,2051.998717,2471.761765,1814.90582,2097.058668,1933.452269,2284.410217
3,126,2020,PS161,White,PS159,0,NO,P5,P3,0,08-Mar,08:45,NA,3,2020_PS159_P5_PS161,2020_PS161_PS161,2020_PS161_PS161_TRUE,2727.456869,3294.219434,2791.799581,2984.800568,2759.628225,3139.510001,3290.790097,3513.961015,3526.278494,3249.364311,3408.534296,3381.662663,3041.404658,2950.941737,3141.011622,2340.611973,3091.20814,2645.776855
3,127,2020,PS165,Blue,PS096,0,NO,P4,P3,1,08-Mar,17:00,NA,3,2020_PS096_P4_PS165,2020_PS165_PS165,2020_PS165_PS165_TRUE,2843.330458,3172.29997,3085.620085,2832.189007,2964.475272,3002.244489,3291.372159,3443.337134,2878.171629,2771.528715,3084.771894,3107.432924,3448.863878,3565.476743,2830.145143,2852.43072,3139.50451,3208.953732
3,128,2020,PS169,Blue,PS166,0,NO,P4,P4,0,09-Mar,16:00,NA,4,2020_PS166_P4_PS169,2020_PS169_PS169,2020_PS169_PS169_TRUE,4099.940237,3329.999105,3189.763599,2753.565405,3644.851918,3041.782255,3524.799191,3024.02808,2943.830277,2780.567469,3234.314734,2902.297774,3468.836862,2942.672393,2879.077482,2754.785678,3173.957172,2848.729036
3,129,2020,PS170,Red,PS115,0,NO,P4,P4,2,09-Mar,16:30,NA,4,2020_PS115_P4_PS170,2020_PS170_PS170,2020_PS170_PS170_TRUE,1640.107018,2210.480975,2377.481845,2144.630672,2008.794432,2177.555824,1415.452116,1667.299568,1658.183918,1587.002586,1536.818017,1627.151077,1430.684057,1699.886921,1610.986809,1576.675935,1520.835433,1638.281428
3,130,2020,PS177,White,PS158,0,NO,P4,P4,0,12-Mar,09:15,NA,4,2020_PS158_P4_PS177,2020_PS177_PS177,2020_PS177_PS177_TRUE,2828.932935,3061.513619,2549.730741,3137.427985,2689.331838,3099.470802,3962.12594,3833.704242,3962.995096,4019.126142,3962.560518,3926.415192,4144.236574,4066.994544,4131.610472,4091.2885,4137.923523,4079.141522
3,131,2020,PS162,Blue,PS165,0,NO,P3,P4,1,12-Mar,11:15,NA,4,2020_PS165_P3_PS162,2020_PS162_PS162,2020_PS162_PS162_TRUE,2127.648896,2815.362832,2352.628951,2322.193764,2240.138924,2568.778298,2550.422313,3655.560387,4201.550814,3661.383133,3375.986563,3658.47176,2552.351877,3832.208399,4482.486188,3778.530075,3517.419033,3805.369237
3,132,2020,PS197,White,PS191,0,NO,P4,P3,0,17-Mar,09:00,NA,3,2020_PS191_P4_PS197,2020_PS197_PS197,2020_PS197_PS197_TRUE,2510.942104,3016.294915,3687.977391,2801.925658,3099.459748,2909.110287,3695.083739,3637.582411,3879.885173,3709.307313,3787.484456,3673.444862,3643.587139,3356.981793,3771.016214,3775.310465,3707.301676,3566.146129
3,133,2020,PS198,Olive,PS182,0,NO,P3,P3,0,17-Mar,09:15,NA,3,2020_PS182_P3_PS198,2020_PS198_PS198,2020_PS198_PS198_TRUE,1343.131855,1311.595236,1089.003075,1090.499712,1216.067465,1201.047474,2012.548619,1887.058915,1780.278828,2012.849575,1896.413724,1949.954245,1981.483467,1871.060614,1948.204864,1854.951623,1964.844165,1863.006118
3,134,2020,PS202,White,PS197,0,NO,P3,P3,0,17-Mar,17:00,NA,3,2020_PS197_P3_PS202,2020_PS202_PS202,2020_PS202_PS202_TRUE,3888.010575,4071.596411,3988.975066,4377.187236,3938.492821,4224.391824,3405.901643,3061.360498,3773.231472,3880.858463,3589.566558,3471.109481,3349.563012,2720.298834,3712.711789,3816.753073,3531.1374,3268.525953
