Year_Nest_Egg_NestIn,Year,Nest,Egg,NestIn,COMPLEXITY_a,COMPLEXITY_b,COMPLEXITY_c,COMPLEXITY_d,COMPLEXITY_ac,COMPLEXITY_bd,Species
2018_PS121_P3_PS121,2018,PS121,P3,PS121,1627.632483,1251.09082,1225.468063,1040.909782,1426.550273,1146.000301,P
2018_PS076_P2_PS121,2018,PS076,P2,PS121,1169.238322,1341.587355,1407.399369,1245.395342,1288.318846,1293.491349,P
2018_PS127_P1_PS127,2018,PS127,P1,PS127,4228.026408,4054.099071,1829.546222,2452.990784,3028.786315,3253.544928,P
2018_PS127_P2_PS127,2018,PS127,P2,PS127,4094.237473,3325.617625,1701.989345,2674.891702,2898.113409,3000.254664,P
2018_PS127_P3_PS127,2018,PS127,P3,PS127,3510.673861,2569.02756,2053.26938,2918.463629,2781.971621,2743.745595,P
2018_PS127_P4_PS127,2018,PS127,P4,PS127,4160.424177,4335.890683,2091.438784,2971.771322,3125.931481,3653.831003,P
2018_PS088_P3_PS127,2018,PS088,P3,PS127,1677.623614,1474.969961,1726.727736,1925.242826,1702.175675,1700.106394,P
2018_PS138_P1_PS138,2018,PS138,P1,PS138,1882.765666,2178.862579,2139.730938,2565.712485,2011.248302,2372.287532,P
2018_PS138_P2_PS138,2018,PS138,P2,PS138,1709.230373,1786.387723,1913.563203,2528.12513,1811.396788,2157.256427,P
2018_PS138_P3_PS138,2018,PS138,P3,PS138,1807.921708,1947.57453,1900.803983,2167.083406,1854.362846,2057.328968,P
2018_PS113_P2_PS138,2018,PS113,P2,PS138,1678.904353,1530.555819,1619.509352,2024.476337,1649.206853,1777.516078,P
2018_PS142_P1_PS142,2018,PS142,P1,PS142,2162.324375,1701.94275,1510.774775,2073.208598,1836.549575,1887.575674,P
2018_PS142_P2_PS142,2018,PS142,P2,PS142,2011.059069,1833.987001,1550.819919,1957.046174,1780.939494,1895.516588,P
2018_PS142_P3_PS142,2018,PS142,P3,PS142,1992.59986,2022.732298,1607.524986,1590.521122,1800.062423,1806.62671,P
2018_PS142_P4_PS142,2018,PS142,P4,PS142,2100.94227,1788.893252,1375.371148,2161.443123,1738.156709,1975.168188,P
2018_PS121_P3_PS142,2018,PS121,P3,PS142,1813.595363,903.6709045,1297.860778,1445.417938,1555.728071,1174.544421,P
2018_PS143_P1_PS143,2018,PS143,P1,PS143,2059.420601,1663.609489,1990.023654,2179.236384,2024.722128,1921.422937,P
2018_PS143_P2_PS143,2018,PS143,P2,PS143,2133.800269,1803.636422,1980.710574,1948.147561,2057.255422,1875.891992,P
2018_PS143_P3_PS143,2018,PS143,P3,PS143,2252.080794,1314.605366,1934.437656,2016.194363,2093.259225,1665.399865,P
2018_PS136_P4_PS143,2018,PS136,P4,PS143,2323.037374,1773.535615,1636.631613,2290.033631,1979.834494,2031.784623,P
2018_PS147_P1_PS147,2018,PS147,P1,PS147,2711.843015,2716.801485,2497.170374,2702.924628,2604.506695,2709.863057,P
2018_PS147_P2_PS147,2018,PS147,P2,PS147,3858.213243,3842.104828,3764.144777,3386.875309,3811.17901,3614.490069,P
2018_PS147_P3_PS147,2018,PS147,P3,PS147,2626.72886,2788.551657,2745.915693,3804.344838,2686.322277,3296.448248,P
2018_PS069_P1_PS147,2018,PS069,P1,PS147,5036.878545,3542.86982,4216.282833,4704.667444,4626.580689,4123.768632,P
2018_PS151_P1_PS151,2018,PS151,P1,PS151,1913.043133,1705.650548,1700.140086,1981.645703,1806.59161,1843.648126,P
2018_PS151_P2_PS151,2018,PS151,P2,PS151,1948.677386,1881.736694,1813.912526,1844.6,1881.294956,1863.168347,P
2018_PS098_P3_PS151,2018,PS098,P3,PS151,1685.28881,1239.172955,1572.49924,1440.916583,1628.894025,1340.044769,P
2018_PS153_P1_PS153,2018,PS153,P1,PS153,1889.877499,1390.440706,1494.918036,1540.096811,1692.397768,1465.268759,P
2018_PS153_P2_PS153,2018,PS153,P2,PS153,2123.602269,1615.196664,1674.740671,1618.01899,1899.17147,1616.607827,P
2018_PS153_P3_PS153,2018,PS153,P3,PS153,1877.496052,1164.709007,1461.998298,1635.690961,1669.747175,1400.199984,P
2018_PS116_P4_PS153,2018,PS116,P4,PS153,1934.223543,938.9054678,940.0620396,1436.030467,1437.142791,1187.467967,P
2018_PS155_P1_PS155,2018,PS155,P1,PS155,2337.897018,2524.440594,2408.684593,2697.032135,2373.290806,2610.736365,P
2018_PS155_P2_PS155,2018,PS155,P2,PS155,3317.923632,2865.548501,2445.025625,3163.176354,2881.474629,3014.362428,P
2018_PS155_P3_PS155,2018,PS155,P3,PS155,2846.729252,1980.503667,2540.807193,1950.694005,2693.768223,1965.598836,P
2018_PS155_P4_PS155,2018,PS155,P4,PS155,2419.106084,2236.427871,2083.601194,2951.25726,2251.353639,2593.842566,P
2018_PS153_P3_PS155,2018,PS153,P3,PS155,1672.66845,1718.35607,1604.495506,2145.795887,1638.581978,1932.075979,P
2018_PS158_P1_PS158,2018,PS158,P1,PS158,2888.395231,4023.571143,3014.546941,3405.487203,2951.471086,3714.529173,P
2018_PS158_P2_PS158,2018,PS158,P2,PS158,2344.686131,3655.383135,3382.818683,2824.765112,2863.752407,3240.074124,P
2018_PS158_P3_PS158,2018,PS158,P3,PS158,3678.02986,2682.809434,2780.047741,1764.062188,3229.038801,2223.435811,P
2018_PS096_P3_PS158,2018,PS096,P3,PS158,1720.041679,2632.501551,3336.61111,2222.455115,2528.326395,2427.478333,P
2018_PS168_P1_PS168,2018,PS168,P1,PS168,4004.899693,3222.63116,3585.112006,2673.453739,3795.00585,2948.04245,P
2018_PS108_P3_PS168,2018,PS108,P3,PS168,2081.177953,2522.424825,2331.21853,2621.676618,2206.198242,2572.050722,P
2018_PS170_P1_PS170,2018,PS170,P1,PS170,1703.86334,1838.198966,1701.674003,1659.529074,1702.768672,1748.86402,P
2018_PS170_P2_PS170,2018,PS170,P2,PS170,1318.141363,1370.070297,1752.714577,1367.425592,1535.42797,1368.747945,P
2018_PS170_P3_PS170,2018,PS170,P3,PS170,1035.454963,1305.869269,1266.590598,979.3962513,1151.022781,1142.63276,P
2018_PS160_P1_PS170,2018,PS160,P1,PS170,2054.185872,2202.74293,2014.245758,1887.518944,2034.215815,2045.130937,P
2018_PS179_P1_PS179,2018,PS179,P1,PS179,3734.703123,3104.599195,3625.77551,3054.936936,3680.239317,3079.768066,P
2018_PS179_P2_PS179,2018,PS179,P2,PS179,2632.950421,2680.374226,3383.369019,2626.821658,3008.15972,2653.597942,P
2018_PS179_P3_PS179,2018,PS179,P3,PS179,2938.676434,4173.691006,2896.597788,3287.853043,2917.637111,3730.772025,P
2018_PS146_P1_PS179,2018,PS146,P1,PS179,3226.324743,3580.200977,3468.549634,2538.608545,3347.437189,3059.404761,P
2018_PST002_P1_PST002,2018,PST002,P1,PST002,2251.234449,2151.352571,2213.961501,1954.781362,2232.597975,2053.066967,P
2018_PST002_P2_PST002,2018,PST002,P2,PST002,2576.788532,1901.367807,2362.0142,2517.978242,2469.401366,2209.673025,P
2018_PST002_P3_PST002,2018,PST002,P3,PST002,2109.304562,1452.676818,1731.631077,1694.973027,1920.46782,1573.824923,P
2018_PS079_P3_PST002,2018,PS079,P3,PST002,2111.454008,2064.435226,1899.232043,1938.621399,2005.343026,2001.528313,P
2018_PST006_P1_PST006,2018,PST006,P1,PST006,1492.928749,1596.298315,1893.341813,1889.463138,1693.135281,1742.880727,P
2018_PST006_P2_PST006,2018,PST006,P2,PST006,1574.533108,1887.511254,1638.725232,1516.463975,1606.62917,1701.987615,P
2018_PST006_P3_PST006,2018,PST006,P3,PST006,1634.113921,2051.059275,1421.085555,1518.222114,1527.599738,1784.640695,P
2018_PS087_P3_PST006,2018,PS087,P3,PST006,2974.360942,3634.291346,2741.914699,2295.942163,2858.137821,2965.116755,P
2018_PST012_P1_PST012,2018,PST012,P1,PST012,2438.997463,2439.029185,1925.022774,2495.629143,2182.010119,2467.329164,P
2018_PST012_P2_PST012,2018,PST012,P2,PST012,1757.449948,2111.157106,1683.13113,1809.424494,1720.290539,1960.2908,P
2018_PST012_P3_PST012,2018,PST012,P3,PST012,1964.551403,1866.265651,2067.950311,1909.871565,2016.250857,1888.068608,P
2018_PS081_P3_PST012,2018,PS081,P3,PST012,2337.933398,2310.013851,2207.428987,2101.308162,2272.681193,2205.661007,P
2019_PS014_P1_PS014,2019,PS014,P1,PS014,2877.966012,2796.068772,2910.461499,2468.869069,2894.213756,2632.468921,P
2019_PS014_P2_PS014,2019,PS014,P2,PS014,3073.303388,3488.772553,3136.069748,1977.86454,3104.686568,2733.318547,P
2019_PS014_P3_PS014,2019,PS014,P3,PS014,3979.992347,4161.730856,3516.923442,3533.143354,3748.457895,3847.437105,P
2019_PS012_P3_PS014,2019,PS012,P3,PS014,4113.805994,3854.52375,3704.826022,3238.530244,3909.316008,3546.526997,P
